paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.003,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,264.0,10.0,129.0,1237.0,58.0,1507.0,637.0,32664.0,211.0,36.0,12.0,82.0,31.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.011,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,244.0,5.0,125.0,1325.0,69.0,1199.0,423.0,22248.0,199.0,34.0,,69.0,34.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.012,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,239.0,3.0,122.0,1145.0,56.0,1367.0,593.0,29605.0,191.0,46.0,,78.0,30.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.018,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,243.0,7.0,132.0,1279.0,60.0,1379.0,602.0,30106.0,211.0,40.0,,78.0,36.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.020,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,245.0,8.0,115.0,1179.0,59.0,1337.0,629.0,30064.0,212.0,42.0,,75.0,27.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.021,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,304.0,4.0,147.0,1427.0,72.0,1177.0,545.0,28590.0,250.0,42.0,,105.0,34.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.022,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,228.0,3.0,116.0,1101.0,57.0,1625.0,707.0,33224.0,212.0,39.0,,61.0,25.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.024,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,256.0,3.0,133.0,1281.0,61.0,1007.0,397.0,23079.0,202.0,30.0,,75.0,27.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.025,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,253.0,5.0,125.0,1212.0,63.0,1458.0,624.0,31910.0,214.0,34.0,,76.0,30.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.035,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,288.0,4.0,147.0,1387.0,72.0,1127.0,487.0,25798.0,219.0,29.0,,92.0,34.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.039,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,296.0,4.0,153.0,1417.0,66.0,1226.0,471.0,26704.0,221.0,34.0,,94.0,41.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.043,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,243.0,3.0,121.0,1170.0,63.0,1418.0,585.0,28928.0,191.0,34.0,,76.0,32.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.058,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,270.0,,134.0,1273.0,60.0,1413.0,634.0,30096.0,208.0,35.0,,84.0,35.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.059,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,297.0,6.0,150.0,1432.0,66.0,1384.0,533.0,28785.0,228.0,31.0,,106.0,36.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.061,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,230.0,3.0,116.0,1123.0,57.0,1294.0,573.0,27381.0,201.0,31.0,,69.0,29.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.062,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,252.0,5.0,127.0,1200.0,60.0,1411.0,612.0,31248.0,254.0,36.0,,73.0,34.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.065,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,263.0,5.0,128.0,1214.0,60.0,1398.0,655.0,32141.0,216.0,37.0,,80.0,27.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.073,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,253.0,5.0,121.0,1199.0,64.0,1334.0,647.0,30679.0,205.0,34.0,,79.0,27.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.074,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,294.0,6.0,139.0,1410.0,66.0,1551.0,579.0,32788.0,267.0,39.0,,98.0,37.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.080,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,238.0,4.0,125.0,1188.0,52.0,1365.0,573.0,28811.0,192.0,35.0,,69.0,28.0
Carter et al 2013 (Körtik Tepe),2013,EDXRF,2,artifact_assigned,Bingöl A,Bingöl A,Eastern Anatolia,KT.083,ppm,Körtik Tepe artifacts; RGM-2 standards dropped,284.0,6.0,144.0,1383.0,77.0,1273.0,525.0,27513.0,241.0,29.0,,97.0,40.0
