Rb,Sr,Zr,Nb,Y,Ti,Ba,Th,La,Ce,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference,Fe,Mn,Zn,Pb,Sm,Eu,Yb,Lu,Ga,ref_quality,heavy5_cover
213.0,0.0,1315.0,64.0,,815.0,0.0,,,,NemrutDag,kn-194,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21784.0,574.0,207.0,29.0,,,,,,strong,4
214.0,0.0,1269.0,64.0,,1024.0,0.0,,,,NemrutDag,kn-195,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20961.0,545.0,179.0,31.0,,,,,,strong,4
220.0,0.0,1317.0,67.0,,954.0,0.0,,,,NemrutDag,kn-196,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,23263.0,585.0,222.0,31.0,,,,,,strong,4
226.0,0.0,1317.0,66.0,,977.0,0.0,,,,NemrutDag,kn-198,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,23411.0,498.0,199.0,23.0,,,,,,strong,4
223.0,0.0,1363.0,70.0,,861.0,0.0,,,,NemrutDag,kn-199,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21788.0,523.0,196.0,27.0,,,,,,strong,4
209.0,0.0,1290.0,63.0,,883.0,0.0,,,,NemrutDag,kn-200,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21619.0,493.0,177.0,30.0,,,,,,strong,4
206.0,0.0,1279.0,65.0,,865.0,104.0,,,,NemrutDag,kn-205,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21015.0,560.0,182.0,24.0,,,,,,strong,4
207.0,0.0,1255.0,65.0,,872.0,114.0,,,,NemrutDag,kn-211,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20600.0,639.0,198.0,30.0,,,,,,strong,4
212.0,0.0,1275.0,64.0,,883.0,0.0,,,,NemrutDag,kn-212,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21584.0,501.0,207.0,34.0,,,,,,strong,4
215.0,0.0,1312.0,66.0,,948.0,0.0,,,,NemrutDag,kn-214,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,22197.0,503.0,187.0,25.0,,,,,,strong,4
227.0,0.0,1353.0,68.0,,1015.0,0.0,,,,NemrutDag,kn-216,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,23933.0,487.0,222.0,23.0,,,,,,strong,4
206.0,0.0,1266.0,64.0,,866.0,0.0,,,,NemrutDag,kn-217,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20766.0,511.0,185.0,32.0,,,,,,strong,4
205.0,0.0,1287.0,67.0,,846.0,154.0,,,,NemrutDag,kn-218,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21489.0,595.0,184.0,31.0,,,,,,strong,4
204.0,0.0,1258.0,64.0,,976.0,0.0,,,,NemrutDag,kn-220,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21211.0,489.0,196.0,31.0,,,,,,strong,4
208.0,0.0,1281.0,66.0,,860.0,0.0,,,,NemrutDag,kn-221,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21540.0,476.0,190.0,27.0,,,,,,strong,4
207.0,0.0,1260.0,63.0,,890.0,0.0,,,,NemrutDag,kn-222,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21198.0,490.0,200.0,25.0,,,,,,strong,4
195.0,0.0,1220.0,62.0,,888.0,0.0,,,,NemrutDag,kn-224,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,19219.0,508.0,173.0,22.0,,,,,,strong,4
204.0,0.0,1270.0,66.0,,827.0,0.0,,,,NemrutDag,kn-226,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20345.0,524.0,179.0,27.0,,,,,,strong,4
238.0,0.0,1377.0,72.0,,981.0,0.0,,,,NemrutDag,kn-227,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,24259.0,488.0,214.0,27.0,,,,,,strong,4
214.0,0.0,1283.0,68.0,,957.0,0.0,,,,NemrutDag,kn-230,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21588.0,463.0,183.0,26.0,,,,,,strong,4
198.0,0.0,1238.0,64.0,,855.0,0.0,,,,NemrutDag,kn-233,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20525.0,556.0,191.0,25.0,,,,,,strong,4
208.0,0.0,1256.0,67.0,,843.0,0.0,,,,NemrutDag,kn-234,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20493.0,487.0,180.0,28.0,,,,,,strong,4
